target "start time (UTC)" "end time (UTC)"
"Unused Time" "2019-04-05 15:30:40.026" "2019-04-05 15:39:40.027"
"TW Peg" "2019-04-05 15:39:40.027" "2019-04-05 16:10:40.027"
TransitionBlock "2019-04-05 16:10:40.027" "2019-04-05 16:11:00.027"
"Unused Time" "2019-04-05 16:11:00.027" "2019-04-05 16:18:40.028"
CAL_MWC349 "2019-04-05 16:18:40.028" "2019-04-05 16:21:40.028"
TransitionBlock "2019-04-05 16:21:40.028" "2019-04-05 16:22:20.028"
"Unused Time" "2019-04-05 16:22:20.028" "2019-04-05 16:24:40.028"
CAL_1739+522 "2019-04-05 16:24:40.028" "2019-04-05 16:27:40.028"
TransitionBlock "2019-04-05 16:27:40.028" "2019-04-05 16:28:40.028"
"Unused Time" "2019-04-05 16:28:40.028" "2019-04-05 16:29:20.029"
"IRAS 20547+0247" "2019-04-05 16:29:20.029" "2019-04-05 17:00:20.029"
TransitionBlock "2019-04-05 17:00:20.029" "2019-04-05 17:01:00.029"
"Unused Time" "2019-04-05 17:01:00.029" "2019-04-05 17:17:40.030"
CAL_G34.3 "2019-04-05 17:17:40.030" "2019-04-05 17:20:40.030"
TransitionBlock "2019-04-05 17:20:40.030" "2019-04-05 17:21:20.030"
"Unused Time" "2019-04-05 17:21:20.030" "2019-04-05 17:21:40.030"
CAL_MWC349 "2019-04-05 17:21:40.030" "2019-04-05 17:24:40.030"
TransitionBlock "2019-04-05 17:24:40.030" "2019-04-05 17:25:20.030"
"Unused Time" "2019-04-05 17:25:20.030" "2019-04-05 17:26:00.031"
CAL_1739+522 "2019-04-05 17:26:00.031" "2019-04-05 17:29:00.031"
TransitionBlock "2019-04-05 17:29:00.031" "2019-04-05 17:30:00.031"
"Unused Time" "2019-04-05 17:30:00.031" "2019-04-05 17:35:00.031"
"TW Peg" "2019-04-05 17:35:00.031" "2019-04-05 18:06:00.031"
TransitionBlock "2019-04-05 18:06:00.031" "2019-04-05 18:07:00.031"
"Unused Time" "2019-04-05 18:07:00.031" "2019-04-05 18:15:20.032"
CAL_1739+522 "2019-04-05 18:15:20.032" "2019-04-05 18:18:20.032"
TransitionBlock "2019-04-05 18:18:20.032" "2019-04-05 18:19:20.032"
CAL_G34.3 "2019-04-05 18:19:20.032" "2019-04-05 18:22:20.032"
TransitionBlock "2019-04-05 18:22:20.032" "2019-04-05 18:23:00.032"
"Unused Time" "2019-04-05 18:23:00.032" "2019-04-05 18:23:40.033"
CAL_MWC349 "2019-04-05 18:23:40.033" "2019-04-05 18:26:40.033"
TransitionBlock "2019-04-05 18:26:40.033" "2019-04-05 18:27:00.033"
"Unused Time" "2019-04-05 18:27:00.033" "2019-04-05 18:31:40.033"
"TW Peg" "2019-04-05 18:31:40.033" "2019-04-05 19:02:40.033"
TransitionBlock "2019-04-05 19:02:40.033" "2019-04-05 19:03:40.033"
"Unused Time" "2019-04-05 19:03:40.033" "2019-04-05 19:18:20.035"
CAL_1739+522 "2019-04-05 19:18:20.035" "2019-04-05 19:21:20.035"
TransitionBlock "2019-04-05 19:21:20.035" "2019-04-05 19:22:00.035"
"Unused Time" "2019-04-05 19:22:00.035" "2019-04-05 19:24:20.035"
CAL_MWC349 "2019-04-05 19:24:20.035" "2019-04-05 19:27:20.035"
TransitionBlock "2019-04-05 19:27:20.035" "2019-04-05 19:27:40.035"
"Unused Time" "2019-04-05 19:27:40.035" "2019-04-05 19:54:20.036"
"TW Peg" "2019-04-05 19:54:20.036" "2019-04-05 20:25:20.036"
TransitionBlock "2019-04-05 20:25:20.036" "2019-04-05 20:25:40.036"
"Unused Time" "2019-04-05 20:25:40.036" "2019-04-05 20:27:00.000"
CAL_MWC349 "2019-04-05 20:27:00.000" "2019-04-05 20:30:00.000"
