isoTime,mean,median,count
2016-06-18,0.11158798171867733,0.1078,35446
2016-06-19,0.06597662437948208,0.0645,27195
2016-06-20,0.06899589776087812,0.0649,23670
2016-06-21,0.11768401098901106,0.1146,25480
2016-06-22,0.08206811991511029,0.0817,33924
2016-06-23,0.09505193382580045,0.0938,35603
2016-06-24,0.10649796791746542,0.1026,35284
2016-06-25,0.10239732548504339,0.1002,34997
2016-06-26,0.10791315692141991,0.1047,29741
2016-06-27,0.14850233902858043,0.1412,26806
2016-06-28,0.14328751554225164,0.1434,21715
2016-06-29,0.19053068780136276,0.1899,18043
2016-06-30,0.2794093659273015,0.2782,34444
2016-07-01,0.21392802106037684,0.2154,35327
2016-07-02,0.19385113240418017,0.1902,22960
2016-07-03,0.153648430182705,0.1555,30322
2016-07-04,0.13511976275208146,0.1365,25290
2016-07-05,0.1340796732875451,0.1325,26935
2016-07-06,0.17903410201288375,0.1801,35819
2016-07-07,0.13858538653087799,0.14300000000000002,35741
2016-07-08,0.13932550376608854,0.1396,35979
2016-07-09,0.10451438156195716,0.1013,35622
2016-07-10,0.13935394384394592,0.1373,31733
2016-07-11,0.08415838639008978,0.0826,29214
2016-07-12,0.07922088301643669,0.0744,27927
2016-07-13,0.0669663851631091,0.068,30195
2016-07-14,0.09000328768689947,0.0936,34979
2016-07-15,0.1066588187981174,0.1042,34812
2016-07-16,0.09431373535767307,0.0949,35172
2016-07-17,0.10254212160242823,0.1042,30279
2016-07-18,0.08871812151157271,0.0881,21858
2016-07-19,0.1698278571428581,0.1535,13160
2016-07-20,0.13868753351698535,0.1391,27225
2016-07-21,0.07277469270297814,0.0731,24325
2016-07-22,0.09438141455141848,0.0942,35969
2016-07-23,0.11078486212316184,0.1099,13998
2016-07-24,,,0
2016-07-25,0.3694121350926308,0.365,14627
2016-07-26,0.2785426046287651,0.2816,29079
2016-07-27,0.12985340776365475,0.1277,29110
2016-07-28,0.10451060021557776,0.1064,35254
2016-07-29,0.061700826706331584,0.0608,34958
2016-07-30,0.05458836185658301,0.0547,30443
2016-07-31,0.12709437660035644,0.1309,30462
2016-08-01,0.1847611111111092,0.18100000000000002,17910
2016-08-02,0.11353755465458452,0.1058,25158
2016-08-03,0.09190885611232856,0.0811,31052
2016-08-04,0.06609915228465167,0.0644,26306
2016-08-05,0.08800515113846474,0.0868,32983
2016-08-06,0.06598293234390194,0.0629,34498
2016-08-07,0.11144923292998982,0.0934,27768
2016-08-08,0.13392306395772813,0.127,21952
2016-08-09,0.09042954466608787,0.0903,23060
2016-08-10,0.11074331987437507,0.1132,33435
2016-08-11,0.1173156151551437,0.1177,35869
2016-08-12,0.15149553382738415,0.1525,35489
2016-08-13,0.18565923937612724,0.1846,35392
2016-08-14,0.2300189418090148,0.222,21017
2016-08-15,0.17890793094821042,0.1838,19985
2016-08-16,0.1251717749160061,0.1219,35720
2016-08-17,0.08678816738816655,0.0802,29106
2016-08-18,0.07405922463727145,0.0701,34874
2016-08-19,0.09398813888108291,0.099,35570
2016-08-20,0.08474223403280227,0.0842,32739
2016-08-21,0.08520909777274563,0.086,29139
2016-08-22,,,0
2016-08-23,0.34811487015813075,0.3383,6893
2016-08-24,0.33542875544793727,0.3412,20650
2016-08-25,0.1343230308266849,0.1245,35878
2016-08-26,0.12109564070915432,0.1211,35648
2016-08-27,0.08795343174070722,0.0876,34618
2016-08-28,0.11307696430377243,0.1137,29667
2016-08-29,0.09005495053301511,0.0837,13039
2016-08-30,0.08374603039340982,0.0821,21123
2016-08-31,,,0
2016-09-01,,,0
2016-09-02,0.30040106635427116,0.3124,33291
2016-09-03,0.3019705717488783,0.2963,3568
2016-09-04,0.31193794303507766,0.3024,10919
2016-09-05,0.1986167103220783,0.1898,20616
2016-09-06,0.09034882812499881,0.0908,30208
2016-09-07,0.06876369497618343,0.0691,35053
2016-09-08,0.06958144617603979,0.0671,31891
2016-09-09,0.07289479391163693,0.0732,29696
2016-09-10,0.0720069441624369,0.0743,29550
2016-09-11,0.08749195064629833,0.0868,28934
2016-09-12,0.13322293562157628,0.1211,23191
2016-09-13,0.35479606497368604,0.3518,17484
2016-09-14,0.2662758970430531,0.2567,32635
2016-09-15,,,0
2016-09-16,0.4053886145638311,0.4004,17619
2016-09-17,0.316715402550437,0.3101,21016
2016-09-18,0.24811850467289837,0.2416,26215
2016-09-19,0.14491532884273675,0.165,21378
2016-09-20,0.08760121013602767,0.0905,21981
2016-09-21,0.0842463160007981,0.083,34867
2016-09-22,0.09378360241593706,0.0935,34438
2016-09-23,0.12088990815657129,0.1218,9146
2016-09-24,0.1769200078693692,0.177,5083
2016-09-25,0.10981785028095305,0.1106,27585
2016-09-26,0.08805919311880393,0.0892,22903
2016-09-27,0.06220386533095667,0.0627,21861
2016-09-28,0.0826486837253872,0.079,27122
2016-09-29,0.07799833237839962,0.0766,33161
2016-09-30,0.06881387133306749,0.0645,27373
2016-10-01,0.08611384322134966,0.0739,16788
2016-10-02,0.16237223820483337,0.1592,10428
2016-10-03,0.17393571970518312,0.1634,18452
2016-10-04,,,0
2016-10-05,0.2461056061667752,0.2457,25686
2016-10-06,0.1299901284747871,0.1126,35182
2016-10-07,0.08129596809155984,0.0775,34599
2016-10-08,0.1847346560000013,0.1897,25000
2016-10-09,0.08453273147325642,0.0868,28135
2016-10-10,0.09560578889787363,0.09699999999999999,21023
2016-10-11,,,0
2016-10-12,,,0
